tag,number
artificial intelligence,1
automation,1
base de dados,1
bash,1
bi,1
blockchain,1
carpentries,1
ciencia  abierta,1
ciencia de datos,2
citation,1
citizen science,3
columnas a filas,1
communication,1
community,1
covid19,3
crypto,2
código abierto,1
dashboard,2
data,1
data science,4
datasets,1
datos,1
developer,1
devops,2
documentation,2
dplyr,1
env,1
epigraphhub,1
ethereum,1
filas a columnas,1
filtrar datos,2
ggmap,1
ggplot2,1
ibis,1
ide,2
interfaz,1
interfaz de r,1
lattice,1
learning,1
license,1
machine learning,1
maps,1
mentoring,1
merge,1
mineria de texto,1
nft,1
nube de palabras,1
open data,2
open science,33
open source,4
packaging,2
pandemic,1
plotly,1
posit,1
programacion,1
pyopensci,1
python,5
r,9
recursos,2
rmarkdown,1
roadmap,1
ropensci,1
rstudio,3
rstudio desktop,1
rstudio server,1
science,1
shiny,1
social labs,2
spyder,1
spyder online,1
sql,2
superset,1
tidyr,1
tidyverse,1
versioning,4
visualización,2
visualization,4
web3,2
wordcloud,1
