slug,category,tags
cinco-cosas-que-no-debes-olvidar-al-trabajar-con-datos-abiertos,[open data],[open data]
investigacion-colaborativa-con-git,[git],[open science]
que-es-el-acceso-abierto-y-por-que-debes-tenerlo-en-cuenta-para-tus-investigaciones,[open access],[open science]
plataformas-que-te-ayudaran-en-la-gestion-de-tu-grupo-de-trabajo,[communication],[communication]
ibis-framework,[python],"[python, sql, base de dados, ibis]"
como-aplicar-la-investigacion-reproducible-proyectos-de-codigo-abierto,[open science],[open science]
por-que-deberias-considerar-carpentries-como-una-referencia-para-aprender-ciencia-de-datos,[learning],"[data science, learning, carpentries, ciencia de datos]"
ciencia-abierta,[artificial intelligence],[artificial intelligence]
que-son-las-mentorias-y-como-potencian-los-proyectos-de-ciencia-abierta,[mentoring],[mentoring]
te-hablamos-de-cinco-repositorios-con-datos-abiertos-sobre-paises,[open data],[open science]
como-aplicar-los-principios-de-acceso-abierto-en-tus-investigaciones,[open access],[open science]
visualiza-tus-datos-en-r-con-ggplot-y-gganimate,[r],"[r, visualization]"
que-es-la-ciencia-abierta,[open science],[open science]
dibuja-tus-mapas-en-r-usando-archivos-de-formato-shapefile,[r],"[r, maps, visualization]"
cinco-tips-para-aumentar-tu-productividad-con-git,[git],[versioning]
primeros-pasos-con-rstudio,[ide],"[ide, r, rstudio, rstudio desktop, rstudio server, interfaz de r]"
filtrar-datos-r,[data science],"[open science, r, filtrar datos, dplyr, recursos, data science]"
como-instalar-y-comenzar-utilizar-tensorflow,[machine learning],[machine learning]
que-es-el-lenguaje-r-y-como-puede-ayudarte-en-tus-proyectos,[r],"[open science, r, rstudio, posit, data science, ciencia de datos, rmarkdown]"
caracteristicas-y-tips-utiles-que-te-ayudaran-sacar-el-maximo-provecho-de-conda,[packaging],"[devops, packaging]"
razones-para-usar-python-en-tu-proximo-proyecto-de-investigacion,[python],[open science]
cinco-cosas-que-no-debes-olvidar-al-trabajar-con-markdown,[markdown],[open science]
reorganiza-tus-tablas-con-tidyr,[data science],"[open science, r, filtrar datos, tidyr, data science, columnas a filas, filas a columnas]"
que-son-los-datos-abiertos,[open data],[open science]
te-hablamos-de-las-licencias-mas-utilizadas-en-proyectos-de-ciencia-abierta,[open science],"[open science, license]"
como-instalar-y-comenzar-utilizar-conda,[packaging],"[devops, packaging]"
la-investigacion-abierta-el-manejo-de-repositorios-y-control-de-versiones,[open science],"[open science, versioning]"
cuales-son-los-principios-de-la-investigacion-reproducible,[open science],[open science]
