slug,category,tags
cinco-cosas-que-no-debes-olvidar-al-trabajar-con-datos-abiertos,"[open science/open data]
[ciencia abierta/datos abiertos]","[datos]
[data]"
investigacion-colaborativa-con-git,"[open science/open research, software development/version control] 
[ciencia abierta/investigación abierta, desarrollo de software/control de versiones]","[git, branch]
[git, ramas]"
que-es-el-acceso-abierto-y-por-que-debes-tenerlo-en-cuenta-para-tus-investigaciones,"[open science, open access]
[ciencia abierta, acceso abierto]","[research, projects]
[investigación, proyectos]"
plataformas-que-te-ayudaran-en-la-gestion-de-tu-grupo-de-trabajo,[organization/team management] [organización/gestión de equipos],"[communication, management] [comunicación, gestión]"
como-aplicar-la-investigacion-reproducible-proyectos-de-codigo-abierto,"[open science/open research, open source] [ciencia abierta/investigación abierta, código abierto]","[code, reproducibility, research]
[código, reproducibilidad, investigación] "
por-que-deberias-considerar-carpentries-como-una-referencia-para-aprender-ciencia-de-datos,"[data science]
[ciencia de datos]","[carpentries, data, projects, learning]
[carpentries, datos, proyectos, aprendizaje]"
ciencia-abierta,[data science/artificial intelligence] [ciencia de datos/inteligencia artificial],"[artificial intelligence, AI, IA] [inteligencia artificial, AI, IA]"
que-son-las-mentorias-y-como-potencian-los-proyectos-de-ciencia-abierta,"[organization/mentoring, open science]
[organización/mentorías]","[projects]
[proyectos]"
te-hablamos-de-cinco-repositorios-con-datos-abiertos-sobre-paises,"[open science/open data, open access] [ciencia abierta/datos abiertos, acceso abierto]","[data, repository, access] 
[datos, repositorios, acceso]"
como-aplicar-los-principios-de-acceso-abierto-en-tus-investigaciones,"[open science/open access]
[ciencia abierta/datos abiertos, acceso abierto]","[research, repository]
[investigación, repositorios]"
visualiza-tus-datos-en-r-con-ggplot-y-gganimate,"[open science/open source, programming languages/ R] [ciencia abierta/código abierto, lenguajes de programación/R]","[visualization, data, graph, ggplot, gganimate] [visualización,datos, gráfico, ggplot, gganimate]"
que-es-la-ciencia-abierta,"[open science]
[ciencia abierta]","[research, data]
[investigación, datos]"
dibuja-tus-mapas-en-r-usando-archivos-de-formato-shapefile,[open science] [ciencia abierta],"[maps, data, visualization, shapefile, R][mapas, datos, visualización, shapefile, R]"
cinco-tips-para-aumentar-tu-productividad-con-git,"[software development/version control]
[desarrollo de software/control de versiones]","[git, branchs, commits, repository, changes]
[git, ramas, commits, repositorios, cambios]"
primeros-pasos-con-rstudio,"[open science/open source, programming languages/ r]
 [ciencia abierta/código abierto, lenguajes de programación/r]","[rstudio, learning]
[rstudio, aprendizaje]"
filtrar-datos-r,"[data science, programming languages/r]
[ciencia de datos, lenguajes de programación/r]","[data, packages, tables, dplyr]
[datos, paquetes, tablas, dplyr]"
como-instalar-y-comenzar-utilizar-tensorflow,"[open science/open source, programming languages/ Python, Data science/ML][ciencia abierta/código abierto, lenguajes de programación/Python, ciencia de datos/ML]","[tensorflow, code,ML, Machine Learning][tensorflow,código,Aprendizaje automático, aprendizaje de máquina]"
