slug, new_tags
cinco-cosas-que-no-debes-olvidar-al-trabajar-con-datos-abiertos,"[datos, abiertos, manera, uso, 1, además, deben, sean, ejemplo, tenemos]"
investigacion-colaborativa-con-git,"[git, proyecto, investigación, información, colaborativa, expertos, crear, cambios, ramas, otros]"
que-es-el-acceso-abierto-y-por-que-debes-tenerlo-en-cuenta-para-tus-investigaciones,"[acceso, abierto, investigaciones, personas, investigación, información, proceso, cuenta, proyectos, otro]"
plataformas-que-te-ayudaran-en-la-gestion-de-tu-grupo-de-trabajo,"[trabajo, equipos, equipo, conversaciones, manejo, forma, herramientas, tareas, aplicaciones, también]"
ibis-framework,"[tr, int64, object, float64, sql, ibis, dados, dataframe, tbody, com]"
como-aplicar-la-investigacion-reproducible-proyectos-de-codigo-abierto,"[código, investigación, reproducible, abierto, sobre, ciencia, reproducibilidad, investigaciones, bajo, software]"
por-que-deberias-considerar-carpentries-como-una-referencia-para-aprender-ciencia-de-datos,"[carpentry, datos, lecciones, software, carpentries, aprender, ciencia, proyecto, investigadores, the]"
ciencia-abierta,"[for, inteligencia, artificial, tales, crear, mediante, voces, red, otras, forma]"
que-son-las-mentorias-y-como-potencian-los-proyectos-de-ciencia-abierta,"[ciencia, abierta, mentor, mentorías, mentoría, sobre, proyectos, conocimientos, proceso, ayuda]"
te-hablamos-de-cinco-repositorios-con-datos-abiertos-sobre-paises,"[datos, abiertos, sobre, países, información, otros, portal, banco, repositorios, conjuntos]"
como-aplicar-los-principios-de-acceso-abierto-en-tus-investigaciones,"[acceso, abierto, investigación, repositorios, investigaciones, manera, bajo, revistas, herramientas, ruta]"
visualiza-tus-datos-en-r-con-ggplot-y-gganimate,"[r, datos, ggplot2, gganimate, rstudio, usamos, animation, path, visualiza, autor]"
que-es-la-ciencia-abierta,"[ciencia, abierta, investigación, open, conocimiento, sobre, forma, datos, proceso, abierto]"
dibuja-tus-mapas-en-r-usando-archivos-de-formato-shapefile,"[archivos, shapefile, archivo, formato, datos, tipo, mapas, r, bibliotecas, otros]"
cinco-tips-para-aumentar-tu-productividad-con-git,"[git, rama, trabajo, ramas, cambios, hacer, repositorio, master, alias, commits]"
primeros-pasos-con-rstudio,"[rstudio, r, paquetes, web, instalar, acceder, código, también, cuadrante, contiene]"
filtrar-datos-r,"[funciones, datos, dplyr, r, artículo, usar, biblioteca, paquetes, filtrar, tabla]"
como-instalar-y-comenzar-utilizar-tensorflow,"[tensorflow, pip, código, plataforma, docker, python, instalar, utilizar, ejecutar, google]"
