slug,categorias,tags
cinco-cosas-que-no-debes-olvidar-al-trabajar-con-datos-abiertos,"[ciencia abierta, datos abiertos]",[datos]
investigacion-colaborativa-con-git,"[ciencia abierta, investigación abierta, desarrollo de software, control de versiones]","[git, ramas]"
que-es-el-acceso-abierto-y-por-que-debes-tenerlo-en-cuenta-para-tus-investigaciones,"[ciencia abierta, acceso abierto]",[proyectos]
plataformas-que-te-ayudaran-en-la-gestion-de-tu-grupo-de-trabajo,"[organización, gestión de equipos]","[comunicación, gestión]"
ibis-framework,"[ciencia abierta, datos abiertos, acceso abierto, Python, SQL]","[ibis, dataframe, datos, pandas]"
como-aplicar-la-investigacion-reproducible-proyectos-de-codigo-abierto,"[ciencia abierta, investigación abierta, código abierto]","[código, reproducibilidad]"
por-que-deberias-considerar-carpentries-como-una-referencia-para-aprender-ciencia-de-datos,"[ciencia de datos, aprendizaje]","[carpentries, datos, proyectos]"
ciencia-abierta,"[ciencia abierta, ciencia de datos, inteligencia artificial]",[datos]
que-son-las-mentorias-y-como-potencian-los-proyectos-de-ciencia-abierta,"[organización, mentorías]",[proyectos]
te-hablamos-de-cinco-repositorios-con-datos-abiertos-sobre-paises,"[ciencia abierta, datos abiertos, acceso abierto]","[datos, repositorios, acceso]"
como-aplicar-los-principios-de-acceso-abierto-en-tus-investigaciones,"[ciencia abierta, datos abiertos, acceso abierto]",[repositorios]
visualiza-tus-datos-en-r-con-ggplot-y-gganimate,"[ciencia abierta, código abierto,  R]","[visualización de datos, ggplot2, gganimate]"
que-es-la-ciencia-abierta,[ciencia abierta],[datos]
dibuja-tus-mapas-en-r-usando-archivos-de-formato-shapefile,"[ciencia abierta, R]","[mapas, datos, visualización de datos, shapefile]"
cinco-tips-para-aumentar-tu-productividad-con-git,"[desarrollo de software, control de versiones, aprendizaje]","[git, ramas, repositorios, cambios]"
primeros-pasos-con-rstudio,"[ciencia abierta, código abierto,  R, IDE]",[rstudio]
filtrar-datos-r,"[ciencia de datos,  R]","[datos, paquetes, tablas, dplyr, filtrar datos]"
como-instalar-y-comenzar-utilizar-tensorflow,"[ciencia abierta, código abierto, Python, ciencia de datos, inteligencia artificial]","[tensorflow,código, tensorflow, pip, docker]"
que-es-el-lenguaje-r-y-como-puede-ayudarte-en-tus-proyectos,"[ciencia de datos, estadística,  R, aprendizaje]","[rstudio, rmarkdown, proyectos, markdown]"
caracteristicas-y-tips-utiles-que-te-ayudaran-sacar-el-maximo-provecho-de-conda,"[ciencia abierta, código abierto, desarrollo de software, DevOps]","[conda, empaquetado, paquetes, entorno virtual]"
razones-para-usar-python-en-tu-proximo-proyecto-de-investigacion,"[ciencia abierta, investigación abierta, ciencia de datos, Python]","[bibliotecas, herramientas, código]"
cinco-cosas-que-no-debes-olvidar-al-trabajar-con-markdown,[ciencia de datos],[markdown]
reorganiza-tus-tablas-con-tidyr,"[R, ciencia de datos]","[tidyr, bibliotecas, tablas, reorganizar, filtrar datos]"
que-son-los-datos-abiertos,"[ciencia abierta, datos abiertos, investigación abierta]",[datos]
te-hablamos-de-las-licencias-mas-utilizadas-en-proyectos-de-ciencia-abierta,[ciencia abierta],"[licencia, proyectos, free software]"
como-instalar-y-comenzar-utilizar-conda,"[ciencia abierta, código abierto, desarrollo de software, DevOps]","[conda, empaquetado, paquetes, gestor, entorno virtual]"
la-investigacion-abierta-el-manejo-de-repositorios-y-control-de-versiones,"[ciencia abierta, investigación abierta, desarrollo de software, control de versiones]","[versionado, repositorios]"
cuales-son-los-principios-de-la-investigacion-reproducible,"[ciencia abierta, investigación abierta]","[reproducibilidad, datos]"
cinco-cosas-que-te-ayudaran-gestionar-mejor-los-datos-de-tus-proximos-proyectos,"[ciencia de datos, investigación abierta]","[datos, proyectos, gestión]"
la-investigacion-abierta-podria-cambiar-el-futuro-de-la-investigacion-en-ciencias-puras-te-contamos-por-que,"[ciencia abierta, investigación abierta]",[datos]
si-pensado-en-como-automatizar-la-construccion-de-citas-en-tu-proyecto-te-contamos-como-hacerlo-posible,[ciencia abierta],"[proyectos, citas, referencias, zotero, metadatos]"
los-laboratorios-sociales-y-el-manejo-del-covid-19,[ciencia abierta],"[laboratorios sociales, covid19,  ciencia ciudadana]"
